Marital_status,Application_mode,Application_order,Course,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status,Nationality,Attendance
Single,1st phase - general contingent,1,Advertising and Marketing Management,Secondary education,139.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Industry/Construction,130.6,Yes,No,No,Yes,Female,No,18,No,6,6,6,12.333333333333334,6,7,5,14.2,13.9,-0.3,0.79,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,136.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,119.3,Yes,No,No,Yes,Female,Yes,18,No,8,8,7,13.214285714285714,8,8,7,13.214285714285714,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,2,Basic Education,Secondary education,133.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative,Unskilled Labor,130.2,Yes,No,No,Yes,Female,No,19,No,6,6,0,12.285714285714286,6,0,0,12.2,12.7,3.7,-1.7,Dropout,Portuguese,Daytime
Single,Short cycle diploma holders,1,Tourism,Professional higher technical course,110.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative,Industry/Construction,111.8,Yes,No,No,Yes,Female,Yes,21,No,6,7,6,10.571428571428571,6,8,5,11.0,8.9,1.4,3.51,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Veterinary Nursing,Secondary education,149.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Services/Retail,137.1,Yes,No,No,Yes,Female,Yes,18,No,5,7,4,13.25,5,5,5,12.0,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Journalism and Communication,Secondary education,127.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Technical,120.7,Yes,No,No,Yes,Female,No,20,No,6,6,5,13.2,6,7,0,12.2,15.5,2.8,-4.06,Dropout,Portuguese,Daytime
Single,3rd phase - general contingent,1,Social Service,Secondary education,137.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Services/Retail,Machine Operator,137.4,Yes,No,No,Yes,Female,No,18,No,6,10,1,12.0,6,14,2,11.0,10.8,1.4,1.74,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,2,Nursing,Secondary education,135.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Services/Retail,Administrative,127.3,Yes,No,No,Yes,Female,No,18,No,7,8,7,13.30625,8,8,8,14.545,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Equinculture,Secondary education,137.0,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technical,Services/Retail,136.3,Yes,No,No,Yes,Female,No,20,No,5,8,4,12.5,5,8,4,12.25,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Basic Education,Secondary education,140.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Industry/Construction,Industry/Construction,124.6,Yes,No,No,Yes,Female,No,18,No,7,7,6,11.666666666666666,7,8,6,13.5,16.2,0.3,-0.92,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,3,Animation and Multimedia Design,Secondary education,122.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Machine Operator,120.3,No,No,No,Yes,Female,Yes,21,No,6,0,0,12.285714285714286,6,0,0,12.2,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,3rd phase - general contingent,1,Oral Hygiene,Secondary education,127.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative,Industry/Construction,121.8,Yes,No,No,Yes,Female,No,20,No,7,14,7,11.4375,8,9,8,11.425,12.7,3.7,-1.7,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,142.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Management/Government,Management/Government,125.5,Yes,No,No,Yes,Female,No,18,No,8,12,7,12.857142857142858,8,12,7,12.857142857142858,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Advertising and Marketing Management,Secondary education,125.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative,Industry/Construction,114.9,Yes,No,No,Yes,Female,Yes,19,No,6,8,6,13.375,6,7,6,12.285714285714286,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,126.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technical,Industry/Construction,123.9,No,No,No,Yes,Female,No,19,No,7,8,6,13.296666666666669,8,9,7,14.114285714285714,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Social Service,Secondary education,151.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,6,8,5,11.6,6,12,4,11.0,7.6,2.6,0.32,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,2,Social Service,Secondary education,115.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Industry/Construction,Machine Operator,116.4,Yes,No,No,Yes,Female,No,21,No,6,9,6,11.375,6,9,6,13.285714285714286,16.2,0.3,-0.92,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Veterinary Nursing,Secondary education,138.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Technical,Technical,131.0,Yes,No,No,Yes,Female,No,18,No,5,9,5,12.666666666666666,5,7,4,13.0,9.4,-0.8,-3.12,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,135.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Unskilled Labor,122.1,Yes,No,No,Yes,Female,No,20,No,5,6,5,12.0,5,6,5,12.333333333333334,16.2,0.3,-0.92,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,2,Nursing,Secondary education,127.0,Higher Education - Degree,Higher Education - Degree,Management/Government,Military,118.8,Yes,No,No,Yes,Male,No,19,No,7,9,6,12.933333333333332,7,7,6,13.716666666666669,16.2,0.3,-0.92,Enrolled,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Agronomy,Technological specialization course,150.0,Higher Education - Master's,Higher Education - Doctorate,Administrative,Professional/Scientific,150.0,No,No,No,Yes,Male,No,21,No,6,15,5,11.857142857142858,6,8,5,10.571428571428571,16.2,0.3,-0.92,Enrolled,Portuguese,Daytime
Single,Change of institution/course,1,Communication Design,Secondary education,125.0,Professional higher technical course,Higher Education - Degree,Professional/Scientific,Unknown,130.0,Yes,No,No,Yes,Male,No,20,No,6,7,6,12.833333333333334,6,9,4,13.4,8.9,1.4,3.51,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Management,Secondary education,143.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative,Agriculture/Fishery,138.8,No,No,No,No,Male,No,18,No,5,9,3,11.333333333333334,5,8,2,13.5,8.9,1.4,3.51,Enrolled,Portuguese,Daytime
Single,3rd phase - general contingent,1,Social Service (evening attendance),Secondary education,138.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Services/Retail,134.5,Yes,No,No,Yes,Female,No,19,No,6,6,6,12.666666666666666,6,8,6,14.375,12.4,0.5,1.79,Graduate,Portuguese,Evening
Single,1st phase - general contingent,1,Management (evening attendance),Secondary education,130.0,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Technical,Unskilled Labor,131.4,No,No,No,Yes,Male,No,34,No,5,6,5,12.4,5,9,5,13.428571428571429,13.9,-0.3,0.79,Graduate,Portuguese,Evening
Single,Over 23 years old,1,Biofuel Production Technologies,Secondary education,130.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Agriculture/Fishery,102.5,No,No,Yes,No,Male,No,20,No,7,7,0,12.285714285714286,7,7,1,10.0,8.9,1.4,3.51,Dropout,Portuguese,Daytime
Single,Over 23 years old,1,Informatics Engineering,11th year of schooling - not completed,133.1,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,128.8,Yes,No,No,Yes,Male,No,20,No,5,0,0,12.285714285714286,5,0,0,12.2,7.6,2.6,0.32,Dropout,Portuguese,Daytime
Single,Change of course,1,Management,Secondary education,140.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Agriculture/Fishery,Agriculture/Fishery,122.9,No,No,No,Yes,Female,No,20,No,5,10,1,10.0,5,8,2,12.0,16.2,0.3,-0.92,Dropout,Portuguese,Daytime
Divorced,Over 23 years old,1,Management (evening attendance),Secondary education,120.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Technical,113.9,Yes,No,No,Yes,Female,No,20,No,5,8,5,11.0,5,5,5,11.6,7.6,2.6,0.32,Graduate,Portuguese,Evening
Single,Technological specialization diploma holders,1,Equinculture,Technological specialization course,120.0,Higher Education - Master's,Higher Education - Master's,Technical,Agriculture/Fishery,120.0,No,No,Yes,No,Female,No,20,Yes,6,13,3,11.666666666666666,6,11,3,12.0,12.4,0.5,1.79,Dropout,Spanish,Daytime
Single,1st phase - general contingent,1,Journalism and Communication,Secondary education,126.0,Higher Education - Degree,Higher Education - Degree,Professional/Scientific,Professional/Scientific,121.1,No,No,Yes,Yes,Female,No,18,No,6,6,4,12.75,5,5,0,12.2,12.7,3.7,-1.7,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,2,Management,Secondary education,133.0,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Professional/Scientific,Industry/Construction,120.4,Yes,No,No,Yes,Female,No,22,No,5,5,5,14.8,5,5,5,15.8,8.9,1.4,3.51,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,103.0,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Professional/Scientific,Professional/Scientific,100.6,Yes,Yes,No,Yes,Female,No,22,No,7,9,5,13.928,8,9,7,14.342857142857142,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Journalism and Communication,Secondary education,120.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Services/Retail,Services/Retail,121.4,No,No,No,No,Female,No,20,No,6,7,4,13.0,6,7,5,13.8,12.4,0.5,1.79,Dropout,Portuguese,Daytime
Single,Over 23 years old,1,Management (evening attendance),Secondary education,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,109.7,No,No,No,Yes,Female,No,29,No,5,0,0,12.285714285714286,5,0,0,12.2,16.2,0.3,-0.92,Dropout,Portuguese,Evening
Single,2nd phase - general contingent,1,Management (evening attendance),Secondary education,154.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative,Services/Retail,134.1,No,No,No,Yes,Female,No,24,No,5,9,2,11.5,5,11,3,14.333333333333334,7.6,2.6,0.32,Enrolled,Portuguese,Evening
Single,2nd phase - general contingent,2,Social Service,Secondary education,130.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Unskilled Labor,127.6,Yes,No,No,Yes,Female,No,18,No,6,6,6,11.666666666666666,6,8,5,13.2,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,1,Nursing,Secondary education,132.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Industry/Construction,Industry/Construction,132.4,Yes,No,No,Yes,Female,Yes,22,No,7,8,6,13.516666666666666,8,9,7,13.771428571428572,11.1,0.6,2.02,Graduate,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Technological specialization course,130.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Unskilled Labor,133.4,No,No,No,Yes,Female,Yes,21,No,6,6,6,11.5,6,7,6,13.285714285714286,12.4,0.5,1.79,Graduate,Portuguese,Evening
Single,1st phase - general contingent,1,Social Service,Secondary education,139.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,126.1,No,No,No,Yes,Female,Yes,19,No,6,7,5,12.333333333333334,6,7,6,12.833333333333334,12.7,3.7,-1.7,Graduate,Portuguese,Daytime
Single,Over 23 years old,1,Tourism,Secondary education,130.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Industry/Construction,113.5,No,No,No,Yes,Female,Yes,24,No,6,6,6,13.666666666666666,6,6,6,14.166666666666666,12.4,0.5,1.79,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Nursing,Secondary education,139.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Agriculture/Fishery,Agriculture/Fishery,121.3,Yes,No,No,Yes,Female,Yes,19,No,8,10,6,11.833333333333334,8,10,6,11.833333333333334,9.4,-0.8,-3.12,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,1,Journalism and Communication,Secondary education,127.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Industry/Construction,Industry/Construction,121.8,Yes,No,No,Yes,Female,Yes,20,No,6,11,4,14.0,6,12,3,11.0,9.4,-0.8,-3.12,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,3,Equinculture,Secondary education,133.1,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other,Other,159.3,No,No,No,Yes,Female,No,19,No,5,7,5,14.714285714285714,5,5,5,15.8,7.6,2.6,0.32,Graduate,Portuguese,Daytime
Single,Over 23 years old,1,Management (evening attendance),Secondary education,130.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,120.0,No,No,No,Yes,Female,No,27,No,5,12,5,10.6,5,10,5,11.0,9.4,-0.8,-3.12,Dropout,Portuguese,Evening
Single,1st phase - general contingent,1,Nursing,Secondary education,130.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Services/Retail,129.1,Yes,No,No,Yes,Female,No,18,No,7,9,7,13.044444444444444,8,10,8,13.595,15.5,2.8,-4.06,Graduate,Portuguese,Daytime
Married,Holders of other higher courses,1,Tourism,Higher education - degree,130.0,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative,Technical,130.0,No,No,No,Yes,Female,No,20,No,6,10,0,12.285714285714286,6,6,0,12.2,12.4,0.5,1.79,Dropout,Portuguese,Daytime
Single,Over 23 years old,1,Equinculture,Higher education - degree (1st cycle),129.0,Higher Education - Degree,Higher Education - Degree,Professional/Scientific,Professional/Scientific,155.3,Yes,No,No,Yes,Female,No,27,No,6,9,5,13.0,6,13,10,12.9,12.4,0.5,1.79,Dropout,Portuguese,Daytime
Single,2nd phase - general contingent,1,Nursing,Secondary education,141.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Industry/Construction,Military,139.8,Yes,No,No,Yes,Female,No,18,No,8,8,8,14.935,8,8,8,14.935,9.4,-0.8,-3.12,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,3,Animation and Multimedia Design,Secondary education,125.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative,Unskilled Labor,115.2,Yes,No,No,Yes,Female,No,18,No,6,0,0,12.285714285714286,6,0,0,12.2,7.6,2.6,0.32,Enrolled,Portuguese,Daytime
Single,1st phase - general contingent,2,Nursing,Secondary education,125.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Labor,Unskilled Labor,114.9,No,No,No,Yes,Female,No,18,No,7,8,6,13.133333333333333,8,12,7,12.221428571428572,16.2,0.3,-0.92,Graduate,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Social Service,Technological specialization course,130.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Labor,Unskilled Labor,131.9,No,No,No,Yes,Female,Yes,21,No,6,7,6,12.0,6,7,6,12.0,13.9,-0.3,0.79,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,3,Animation and Multimedia Design,Secondary education,133.0,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative,Industry/Construction,126.0,Yes,No,No,Yes,Male,Yes,19,No,6,0,0,12.285714285714286,6,0,0,12.2,10.8,1.4,1.74,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,1,Communication Design,Secondary education,127.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Technical,Administrative,130.2,Yes,No,No,Yes,Male,No,19,No,6,6,5,11.4,6,8,1,10.0,10.8,1.4,1.74,Enrolled,Portuguese,Daytime
Single,Change of course,1,Communication Design,Secondary education,116.0,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Technical,Technical,120.9,No,No,No,Yes,Male,No,24,No,6,6,0,12.285714285714286,6,6,0,12.2,12.7,3.7,-1.7,Enrolled,Portuguese,Daytime
Divorced,Transfer,1,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Services/Retail,Services/Retail,126.0,Yes,No,No,Yes,Male,No,29,No,7,10,5,11.9,8,10,5,11.0,13.9,-0.3,0.79,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,3,Animation and Multimedia Design,Secondary education,139.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Technical,128.2,Yes,No,No,Yes,Male,Yes,19,No,6,0,0,12.285714285714286,6,0,0,12.2,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,Technological specialization diploma holders,1,Agronomy,Technological specialization course,130.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Labor,Unskilled Labor,130.0,Yes,No,No,Yes,Male,No,23,No,6,8,6,12.571428571428571,6,7,6,12.428571428571429,8.9,1.4,3.51,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,3,Management,Secondary education,125.0,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Industry/Construction,Industry/Construction,120.1,No,No,Yes,Yes,Male,No,19,No,5,8,5,11.2,5,10,4,10.75,16.2,0.3,-0.92,Dropout,Portuguese,Daytime
Single,Over 23 years old,1,Tourism,Secondary education,160.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Industry/Construction,Military,100.0,No,No,No,Yes,Male,No,26,No,6,7,6,12.0,6,8,5,10.8,12.7,3.7,-1.7,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,1,Management,Secondary education,148.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Services/Retail,134.0,No,No,No,Yes,Male,No,18,No,5,9,0,12.285714285714286,5,5,0,12.2,7.6,2.6,0.32,Enrolled,Portuguese,Daytime
Single,2nd phase - general contingent,1,Nursing,Secondary education,150.0,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Machine Operator,Administrative,130.8,No,No,No,Yes,Male,No,24,No,7,8,7,11.975,8,8,8,13.75,13.9,-0.3,0.79,Graduate,Portuguese,Daytime
Single,1st phase - general contingent,1,Animation and Multimedia Design,Secondary education,141.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Services/Retail,Military,135.8,Yes,No,No,Yes,Male,No,19,No,6,0,0,12.285714285714286,6,0,0,12.2,15.5,2.8,-4.06,Dropout,Portuguese,Daytime
Single,2nd phase - general contingent,1,Tourism,Secondary education,118.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Services/Retail,Industry/Construction,111.7,Yes,No,No,Yes,Male,No,18,No,6,12,3,11.666666666666666,6,12,1,12.0,12.4,0.5,1.79,Dropout,Portuguese,Daytime
Single,1st phase - general contingent,2,Journalism and Communication,Secondary education,142.0,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Labor,Unskilled Labor,132.9,Yes,No,No,Yes,Male,No,18,No,6,8,6,12.333333333333334,6,11,3,12.333333333333334,10.8,1.4,1.74,Graduate,Portuguese,Daytime
Single,2nd phase - general contingent,3,Management,Secondary education,120.0,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative,Industry/Construction,115.5,Yes,No,Yes,Yes,Male,No,18,No,5,8,3,10.333333333333334,5,11,3,10.857142857142858,10.8,1.4,1.74,Dropout,Portuguese,Daytime
